date;view_count;dominant_genre;is_menstruation;weekday;season
2023-09-08;1;Crime;False;Friday;Fall
2023-09-09;5;Crime;False;Saturday;Fall
2023-09-10;4;Crime;False;Sunday;Fall
2023-09-11;1;Crime;False;Monday;Fall
2023-09-12;3;Crime;False;Tuesday;Fall
2023-09-13;1;Crime;True;Wednesday;Fall
2023-09-14;3;Crime;True;Thursday;Fall
2023-09-15;2;Crime;True;Friday;Fall
2023-09-16;2;Crime;True;Saturday;Fall
2023-09-17;1;Crime;True;Sunday;Fall
2023-09-18;2;Crime;True;Monday;Fall
2023-09-20;5;Crime;False;Wednesday;Fall
2023-09-21;3;Crime;False;Thursday;Fall
2023-10-06;2;Drama;False;Friday;Fall
2023-10-07;1;Drama;False;Saturday;Fall
2023-10-08;3;Drama;False;Sunday;Fall
2023-10-09;2;Drama;True;Monday;Fall
2023-11-08;1;Drama;True;Wednesday;Fall
2023-12-11;2;Drama;True;Monday;Winter
2024-01-20;3;Comedy;False;Saturday;Winter
2024-01-27;1;Drama;False;Saturday;Winter
2024-01-28;1;Drama;False;Sunday;Winter
2024-02-25;1;Psychological;False;Sunday;Winter
2024-03-02;6;Animation;True;Saturday;Spring
2024-04-08;1;Drama;False;Monday;Spring
2024-04-09;3;Drama;False;Tuesday;Spring
2024-04-13;1;Drama;False;Saturday;Spring
2024-05-16;3;Animation;False;Thursday;Spring
2024-05-27;3;Animation;True;Monday;Spring
2024-05-29;2;Animation;False;Wednesday;Spring
2024-06-02;1;Animation;False;Sunday;Summer
2024-06-14;1;Animation;True;Friday;Summer
2024-06-20;1;Animation;False;Thursday;Summer
2024-06-21;15;Drama;False;Friday;Summer
2024-06-22;6;Animation;False;Saturday;Summer
2024-06-23;8;Animation;False;Sunday;Summer
2024-06-25;4;Animation;False;Tuesday;Summer
2024-06-26;5;Animation;False;Wednesday;Summer
2024-06-27;1;Animation;False;Thursday;Summer
2024-06-29;4;Animation;False;Saturday;Summer
2024-06-30;2;Animation;False;Sunday;Summer
2024-07-03;6;Animation;False;Wednesday;Summer
2024-07-04;4;Drama;False;Thursday;Summer
2024-07-05;3;Animation;False;Friday;Summer
2024-07-06;2;Animation;True;Saturday;Summer
2024-07-07;4;Animation;True;Sunday;Summer
2024-07-10;1;Animation;True;Wednesday;Summer
2024-07-27;1;Animation;False;Saturday;Summer
2024-07-28;3;Animation;False;Sunday;Summer
2024-07-29;5;Animation;False;Monday;Summer
2024-07-30;2;Animation;False;Tuesday;Summer
2024-08-01;1;Animation;False;Thursday;Summer
2024-08-11;2;Comedy;False;Sunday;Summer
2024-08-12;4;Psychological;False;Monday;Summer
2024-08-13;2;Psychological;False;Tuesday;Summer
2024-08-26;4;Animation;False;Monday;Summer
2024-08-28;5;Drama;False;Wednesday;Summer
2024-09-02;2;Drama;True;Monday;Fall
2024-09-03;1;Drama;True;Tuesday;Fall
2024-09-04;3;Drama;True;Wednesday;Fall
2024-09-08;2;Crime;True;Sunday;Fall
2024-09-10;1;Crime;False;Tuesday;Fall
2024-10-02;3;Drama;True;Wednesday;Fall
2024-10-07;1;Crime;False;Monday;Fall
2024-10-10;1;Crime;False;Thursday;Fall
2024-11-20;2;Animation;False;Wednesday;Fall
2025-01-15;2;Drama;False;Wednesday;Winter
2025-03-03;4;Crime;False;Monday;Spring
2025-03-06;4;Crime;False;Thursday;Spring
2025-03-07;3;Animation;False;Friday;Spring
2025-03-09;1;Drama;False;Sunday;Spring
2025-03-11;1;Drama;False;Tuesday;Spring
2025-03-16;1;Drama;False;Sunday;Spring
2025-03-17;1;Drama;False;Monday;Spring
2025-04-21;3;Animation;False;Monday;Spring
2025-04-22;3;Animation;False;Tuesday;Spring
